Language_ID,cluster2
abi,2
abk,1
aco,2
aeg,2
ain,1
akn,2
ala,1
alb,2
ame,1
amh,1
amp,1
ana,1
anc,2
ani,2
ao,1
apu,1
arc,1
arm,1
arp,2
asm,1
ata,2
awp,1
aym,1
bag,2
bam,1
baw,2
bco,2
bej,1
ber,2
bir,2
bkr,2
bma,2
bre,2
brm,1
bsk,1
bsq,1
bul,2
bur,1
cah,1
car,1
cax,2
cha,2
che,2
chk,1
chq,2
chv,1
cle,2
cmn,1
cnl,1
cnt,2
coo,2
cre,2
cub,1
cyv,2
dag,1
dgr,1
die,1
din,2
dio,2
dni,1
doy,2
dre,2
dyi,2
eng,2
epe,1
eve,1
ewe,2
ewo,2
fij,2
fin,2
fre,2
fur,1
fye,2
gar,1
gbb,2
geo,1
ger,2
goo,2
grb,2
grk,2
grw,1
gua,1
hai,1
ham,1
hau,2
haw,2
hin,1
hix,1
hmo,2
htc,2
hun,2
hup,2
hve,2
hzb,1
iaa,2
iba,2
igb,2
ijo,1
ik,2
ika,1
imo,1
ind,2
ing,1
irq,1
jak,2
jng,1
jpn,1
juh,2
kas,1
kay,1
kch,2
ker,2
ket,1
kew,1
kfe,2
kha,1
khm,2
kho,1
khs,2
kio,1
kkv,2
klm,2
klv,2
kmu,2
knd,1
knk,2
knm,1
knr,1
koa,1
kob,1
kor,1
krb,2
krd,1
krk,1
kro,2
kse,1
ksg,2
kty,1
kut,2
kwo,1
kws,2
kyl,2
lad,1
lah,1
lan,2
lat,2
lav,1
len,2
lep,1
lez,1
lit,2
lkt,1
lug,2
luo,2
luv,2
maa,2
mab,1
mak,2
mal,2
mao,2
map,1
mar,1
mau,2
may,2
mei,1
mgg,1
mku,1
mnd,2
mne,1
mrg,2
mrl,2
mro,2
mrt,2
mss,2
mum,2
mun,1
mxc,2
myi,2
nas,1
nav,1
ndy,2
new,1
nez,2
ngi,2
ngz,2
nht,2
niv,1
nko,2
non,2
nor,2
nti,2
ntu,1
nug,2
nun,2
ond,2
ood,2
orh,1
otm,2
pai,2
pau,1
pms,2
poh,2
pol,2
prh,1
prs,1
psh,1
pso,1
pur,2
qui,2
ram,1
rap,2
res,1
rom,2
ruk,2
rus,2
san,2
sdw,1
shk,1
sla,1
sml,2
snm,1
snt,1
som,1
spa,2
squ,2
sue,1
sup,1
svs,1
swa,2
tab,2
tag,2
tam,1
tel,1
ter,2
tgk,2
tgr,1
tha,2
tiw,2
tli,1
tne,2
ton,1
tru,2
tsi,2
ttn,2
ttu,1
tuk,2
tun,1
tur,1
tuv,1
una,1
ung,2
urk,1
usa,1
vie,2
wah,1
wao,1
wap,1
war,2
wch,2
wic,2
wiy,2
wlf,2
wma,2
wra,1
wrd,2
yag,2
yap,2
yaq,1
yar,1
ygr,1
yid,1
yim,1
yko,1
yor,2
yuc,1
yur,2
zan,2
zqc,1
zul,2
zun,1
