Language_ID,cluster9
abi,9
abk,4
aco,9
aeg,7
ain,2
akn,6
ala,2
alb,8
ame,1
amh,4
amp,1
ana,1
anc,6
ani,9
ao,1
apu,4
arc,3
arm,4
arp,6
asm,1
ata,7
awp,4
aym,2
bag,6
bam,1
baw,5
bco,7
bej,1
ber,6
bir,6
bkr,7
bma,7
bre,8
brm,1
bsk,3
bsq,1
bul,8
bur,3
cah,2
car,4
cax,9
cha,7
che,9
chk,4
chq,7
chv,3
cle,7
cmn,2
cnl,1
cnt,8
coo,9
cre,9
cub,4
cyv,7
dag,1
dgr,3
die,1
din,5
dio,6
dni,1
doy,6
dre,7
dyi,9
eng,8
epe,4
eve,4
ewe,6
ewo,6
fij,7
fin,8
fre,8
fur,1
fye,6
gar,4
gbb,6
geo,2
ger,8
goo,9
grb,5
grk,8
grw,1
gua,4
hai,1
ham,1
hau,6
haw,7
hin,2
hix,4
hmo,5
htc,8
hun,8
hup,9
hve,7
hzb,3
iaa,7
iba,5
igb,6
ijo,4
ik,7
ika,4
imo,1
ind,5
ing,3
irq,1
jak,7
jng,1
jpn,3
juh,5
kas,4
kay,4
kch,5
ker,6
ket,2
kew,1
kfe,5
kha,3
khm,5
kho,1
khs,5
kio,4
kkv,6
klm,9
klv,7
kmu,5
knd,4
knk,6
knm,1
knr,1
koa,4
kob,1
kor,2
krb,7
krd,3
krk,4
kro,7
kse,1
ksg,6
kty,2
kut,7
kwo,4
kws,9
kyl,5
lad,4
lah,1
lan,6
lat,8
lav,1
len,6
lep,1
lez,3
lit,8
lkt,1
lug,5
luo,6
luv,6
maa,7
mab,1
mak,7
mal,7
mao,7
map,4
mar,1
mau,8
may,6
mei,1
mgg,2
mku,1
mnd,8
mne,4
mrg,6
mrl,7
mro,5
mrt,9
mss,9
mum,6
mun,2
mxc,7
myi,9
nas,4
nav,1
ndy,5
new,1
nez,9
ngi,9
ngz,6
nht,8
niv,4
nko,6
non,6
nor,8
nti,9
ntu,2
nug,9
nun,5
ond,9
ood,7
orh,1
otm,7
pai,7
pau,4
pms,6
poh,5
pol,8
prh,1
prs,3
psh,3
pso,3
pur,9
qui,7
ram,1
rap,7
res,2
rom,8
ruk,7
rus,8
san,6
sdw,4
shk,4
sla,1
sml,7
snm,1
snt,1
som,2
spa,8
squ,7
sue,1
sup,1
svs,2
swa,6
tab,6
tag,7
tam,2
tel,4
ter,6
tgk,5
tgr,3
tha,5
tiw,8
tli,2
tne,6
ton,4
tru,9
tsi,7
ttn,5
ttu,2
tuk,7
tun,4
tur,3
tuv,3
una,1
ung,9
urk,1
usa,1
vie,5
wah,1
wao,4
wap,4
war,7
wch,8
wic,9
wiy,9
wlf,5
wma,6
wra,4
wrd,9
yag,9
yap,7
yaq,2
yar,1
ygr,1
yid,1
yim,1
yko,3
yor,5
yuc,1
yur,9
zan,6
zqc,4
zul,6
zun,4
